BS;FG-St;PF-St;*S/*P;SET;G2;G3;ZP;Material;Benennung;Denom.Estruct.;Vorhaben;Cese (Entfall);PRNummer;Fecha SOP;Früh. SOP-Entfall
2;P-FG;P-FG;*P;M12;M;;F;5QS100611AF;MANGUITO RADIADOR.;EA888evo4 LK1 (2.0/150KW);.ZL02011;27V300E2;+T2C+1M5/1M6/1M9+8Z6+9M9;20/01/2025;23/11/2026
2;P-FG;P-FG;*P;M12;M;;F;5QS100611AF;MANGUITO RADIADOR.;EA888evo4 LK1 (2.0/150KW);.ZL02011;25L300A.;+T2C+1D8+8Z6+9M9;20/01/2025;17/02/2025
2;;;*P;M12;M;;F;5QS100611AF;MANGUITO RADIADOR.;EA888evo4 LK1 (2.0/150KW);27V300E2;27V300N.;+T2C+1M5/1M6/1M9+5QD+8Z6+9M9;23/11/2026;23/11/2026
2;;;*P;M12;M;;F;5QS100611AF;MANGUITO RADIADOR.;EA888evo4 LK1 (2.0/150KW);27V300N.;;+T2C+1M5/1M6/1M9+5QD+8Z6+9M9;23/11/2026;31/12/9999
2;P-FG;P-FG;*P;M12;M;;F;5QS100611AC;MANGUITO RADIADOR.;EA888evo4 LK2 (2.0/195KW);.ZL02011;;+D3Q+T3J+1D0+8Z4/8Z5+9M0;16/09/2024;31/12/9999
2;P-FG;P-FG;*P;M12;M;;F;5QS100611AD;MANGUITO RADIADOR.;EA888evo4 LK2 (2.0/195KW);.ZL02011;;+D3Q+T3J+1D0+8Z4/8Z5+9M9;16/09/2024;31/12/9999
2;;;*P;M12;M;;F;5QS100611AE;MANGUITO RADIADOR.;EA888evo4 LK2 (2.0/195KW);.ZL02011;27V300E2;+D3Q+T3J+1M5/1M6/1M9+8Z4/8Z5+9M0;16/09/2024;23/11/2026
2;;;*P;M12;M;;F;5QS100611AE;MANGUITO RADIADOR.;EA888evo4 LK2 (2.0/195KW);.ZL02011;25L300A.;+D3Q+T3J+1D8+8Z4/8Z5+9M0;16/09/2024;17/02/2025
2;;;*P;M12;M;;F;5QS100611AE;MANGUITO RADIADOR.;EA888evo4 LK2 (2.0/195KW);27V300E2;27V300N.;+D3Q+T3J+1M5/1M6/1M9+5QD+8Z4/8Z5+9M0;23/11/2026;23/11/2026
2;;;*P;M12;M;;F;5QS100611AE;MANGUITO RADIADOR.;EA888evo4 LK2 (2.0/195KW);27V300N.;;+D3Q+T3J+1M5/1M6/1M9+5QD+8Z4/8Z5+9M0;23/11/2026;31/12/9999
2;;;*P;M12;M;;F;5QS100611AF;MANGUITO RADIADOR.;EA888evo4 LK2 (2.0/195KW);.ZL02011;27V300E2;+D3Q+T3J+1M5/1M6/1M9+8Z4/8Z5+9M9;16/09/2024;23/11/2026
2;;;*P;M12;M;;F;5QS100611AF;MANGUITO RADIADOR.;EA888evo4 LK2 (2.0/195KW);.ZL02011;25L300A.;+D3Q+T3J+1D8+8Z4/8Z5+9M9;16/09/2024;17/02/2025
2;;;*P;M12;M;;F;5QS100611AF;MANGUITO RADIADOR.;EA888evo4 LK2 (2.0/195KW);27V300E2;27V300N.;+D3Q+T3J+1M5/1M6/1M9+5QD+8Z4/8Z5+9M9;23/11/2026;23/11/2026
2;;;*P;M12;M;;F;5QS100611AF;MANGUITO RADIADOR.;EA888evo4 LK2 (2.0/195KW);27V300N.;;+D3Q+T3J+1M5/1M6/1M9+5QD+8Z4/8Z5+9M9;23/11/2026;31/12/9999
2;P-FG;P-FG;*P;M12;M;;F;5QS100611AG;MANGUITO RADIADOR.;EA888evo4 LK2 (2.0/195KW);.ZL02011;;+D3Q+T3J+1D0+8Z6+9M0;16/09/2024;31/12/9999
2;P-FG;P-FG;*P;M12;M;;F;5QS100611AH;MANGUITO RADIADOR.;EA888evo4 LK2 (2.0/195KW);.ZL02011;;+D3Q+T3J+1D0+8Z6+9M9;16/09/2024;31/12/9999
2;;;*P;M12;M;;F;5QS100611BS;MANGUITO RADIADOR.;EA888evo4 LK2 (2.0/195KW) EU6AP;.ZL02011;27V300E2;+D3Q+T3J+1M5/1M6/1M9+8Z6+9M0;16/09/2024;23/11/2026
2;;;*P;M12;M;;F;5QS100611BS;MANGUITO RADIADOR.;EA888evo4 LK2 (2.0/195KW) EU6AP;.ZL02011;25L300A.;+D3Q+T3J+1D8+8Z6+9M0;16/09/2024;17/02/2025
2;;;*P;M12;M;;F;5QS100611BS;MANGUITO RADIADOR.;EA888evo4 LK2 (2.0/195KW) EU6AP;27V300E2;27V300N.;+D3Q+T3J+1M5/1M6/1M9+5QD+8Z6+9M0;23/11/2026;23/11/2026
