BS;FG-St;PF-St;*S/*P;SET;G2;G3;ZP;Material;Benennung;Denom.Estruct.;Vorhaben;Cese (Entfall);PRNummer;Fecha SOP;Früh. SOP-Entfall
1;;;;M60;A;;A;L57001221;JUEGO DE PEQUEöAS PIEZAS;FEDERBANDSCHELLE;27V661R4;;+D14+T1F+5QD+8Z6;14/06/2027;31/12/9999
1;;;;M60;A;;A;L57001230;JUEGO DE PEQUEöAS PIEZAS;;27V661R4;;+D14+T1F;14/06/2027;31/12/9999
1;;;;M60;A;;A;L57001230;JUEGO DE PEQUEöAS PIEZAS;;27V661R4;;+DF9+T1F;14/06/2027;31/12/9999
2;;;;M60;A;;A;L57000865;MONTAJE;ECE;.ZL02011;LZ23778.;+5C0;16/09/2024;16/09/2024
2;;;;M60;A;;A;L57000866;MONTAJE;KUEHLER X715/X760;.ZL02011;LZ23778.;+ME4+T1C;16/09/2024;16/09/2024
2;;;;M60;A;;A;L57000866;MONTAJE;KUEHLER X715/X760;.ZL02011;LZ23778.;+DS9+N09;14/10/2024;14/10/2024
2;;;;M60;A;;A;L57000866;MONTAJE;KUEHLER X715/X760;.ZL02011;LZ23778.;+DF9+T2C+1D0+8Z4/8Z5;20/01/2025;20/01/2025
2;;;;M60;A;;A;L57000866;MONTAJE;KUEHLER X715/X760;.ZL02011;LZ23778.;+DF9+T2C+1D0+8Z6;20/01/2025;20/01/2025
2;;;;M60;A;;A;L57000866;MONTAJE;KUEHLER X715/X760;.ZL02011;LZ23778.;+D3Q+T3J+1D0+8Z4/8Z5;16/09/2024;16/09/2024
2;;;;M60;A;;A;L57000866;MONTAJE;KUEHLER X715/X760;.ZL02011;LZ23778.;+D3Q+T3J+1D0+8Z6;16/09/2024;16/09/2024
2;;;;M60;A;;A;L57000866;MONTAJE;KUEHLER X715/X760;.ZL02011;LZ23778.;+DG6+TL1;17/02/2025;17/02/2025
2;;;;M60;A;;A;L57000866;MONTAJE;KUEHLER X715/X760;.ZL02011;LZ23778.;+DE3+T1C;25/11/2024;25/11/2024
2;;;;M60;A;;A;L57000866;MONTAJE;;LZ23778.;;+DG6/DS9;14/10/2024;31/12/9999
2;;;;M60;A;;A;L57000866;MONTAJE;;LZ23778.;;+DE3/ME4+8Z4/8Z5;16/09/2024;31/12/9999
2;;;;M60;A;;A;L57000866;MONTAJE;;26L146B.;;+ME4+8Z6;07/07/2025;31/12/9999
2;;;;M60;A;;A;L57000866;MONTAJE;;LZ23778.;;+DF9/D3Q+1D0+8Z4/8Z5/8Z6;16/09/2024;31/12/9999
2;;;;M60;A;;A;L57000866;MONTAJE;;25V661Q6;;+M5D;23/11/2026;31/12/9999
1;;;;M60;A;;A;L57000866;MONTAJE;;26V661R4;;+D14+1D0+8Z4/8Z5/8Z6;14/06/2027;31/12/9999
1;;;;M60;A;;A;L57000866;MONTAJE;;26V661R3;26V661R4;+DT7+1D0+8Z4/8Z5/8Z6;14/06/2027;14/06/2027
2;;;;M60;A;;A;L57000867;MONTAJE;KUEHLER X783;.ZL02011;LZ23778.;+DF9+T2C+1D8/1M5/1M6/1M9+8Z4/8Z5;20/01/2025;20/01/2025
2;;;;M60;A;;A;L57000867;MONTAJE;KUEHLER X783;.ZL02011;LZ23778.;+DF9+T2C+1D8/1M5/1M6/1M9+8Z6;20/01/2025;20/01/2025
2;;;;M60;A;;A;L57000867;MONTAJE;KUEHLER X783;.ZL02011;LZ23778.;+D3Q+T3J+1D8/1M5/1M6/1M9+8Z4/8Z5;16/09/2024;16/09/2024
2;;;;M60;A;;A;L57000867;MONTAJE;KUEHLER X783;.ZL02011;LZ23778.;+D3Q+T3J+1D8/1M5/1M6/1M9+8Z6;16/09/2024;16/09/2024
2;;;;M60;A;;A;L57000867;MONTAJE;;LZ23778.;;+DF9/D3Q+1M5/1M6/1M9;16/09/2024;31/12/9999
1;;;;M60;A;;A;L57000867;MONTAJE;;26V661R4;;+D14+1M5/1M6/1M9+8Z4/8Z5/8Z6;14/06/2027;31/12/9999
1;;;;M60;A;;A;L57000867;MONTAJE;;26V661R3;26V661R4;+DT7+1M5/1M6/1M9;14/06/2027;14/06/2027
2;;;;M60;A;;A;L57000939;MONTAJE;ABDICHTPROFIL LH 783;LZ23778.;25L300A.;+N09/TL1/TU6/T1C/T57+5QD;16/09/2024;17/02/2025
2;;;;M60;A;;A;L57000939;MONTAJE;ABDICHTPROFIL LH 783;25L300A.;;+TL1+1M5/1M6/1M9+5QD+8Z4/8Z5;17/02/2025;31/12/9999
2;;;;M60;A;;A;L57000939;MONTAJE;ABDICHTPROFIL LH 783;25L300A.;;+TL1+5QD+8Z6;17/02/2025;31/12/9999
2;;;;M60;A;;A;L57000939;MONTAJE;ABDICHTPROFIL LH 783;25L300A.;;+N09/TU6/T1C+5QD;17/02/2025;31/12/9999
2;;;;M60;A;;A;L57000939;MONTAJE;ABDICHTPROFIL LH 783;25V661Q6;;+DS9+T57+5QD;23/11/2026;31/12/9999
2;;;;M60;A;;A;L57000939;MONTAJE;ABDICHTPROFIL LH 783;25V661Q6;;+M5D+T57+5QD;23/11/2026;31/12/9999
2;;;;M60;A;;A;L57000939A;MONTAJE;ABDICHTPROFIL RH 783;LZ23778.;25L300A.;+N09/TL1/TU6/T1C/T57+5QD;16/09/2024;17/02/2025
2;;;;M60;A;;A;L57000939A;MONTAJE;ABDICHTPROFIL RH 783;LZ23778.;;+T2C/T3J+1D0+5QD;16/09/2024;31/12/9999
2;;;;M60;A;;A;L57000939B;MONTAJE;ABDICHTPROFIL RH 783;LZ23778.;25L300A.;+T2C/T3J+1M5/1M6/1M9+5QD;16/09/2024;17/02/2025
2;;;;M60;A;;A;L57000939B;MONTAJE;ABDICHTPROFIL RH 783;LZ23778.;25L300A.;+T2C/T3J+1D8+5QD;16/09/2024;17/02/2025
2;;;;M60;A;;A;L57000939B;MONTAJE;ABDICHTPROFIL RH 783;25L300A.;;+T2C/T3J+1M5/1M6/1M9+5QD;17/02/2025;31/12/9999
1;;;;M60;A;;A;L57000939B;MONTAJE;ABDICHTPROFIL RH 783;27V661R4;;+T1F+5QD;14/06/2027;31/12/9999
1;;;;M60;A;;A;L57000939C;MONTAJE;ABDICHTPROFIL RH 783;27V661R4;;+T1F+5QD;14/06/2027;31/12/9999
2;;;;M60;A;;A;L57000868;MANDO;DGL ECE RV;.ZL02011;LZ23778.;+AV1+8IV;16/09/2024;16/09/2024
2;;;;M60;A;;A;L57000868;MANDO;BASIS FULL LED;LZ23778.;;+AV1+8IY;16/09/2024;31/12/9999
2;;;;M60;A;;A;L57000868A;MANDO;DGL ECE LV;.ZL02011;LZ23778.;+AV0+8IV;25/11/2024;25/11/2024
2;;;;M60;A;;A;L57000868A;MANDO;BASIS FULL LED;LZ23778.;;+AV0+8IY;25/11/2024;31/12/9999
2;;;;M60;A;;A;L57000868B;MANDO;HIGH HD;LZ23778.;;+AV1+8IV;16/09/2024;31/12/9999
2;;;;M60;A;;A;L57000868C;MANDO;HIGH  LED MID AFS;LZ23778.;;+AV0+8IV;25/11/2024;31/12/9999
2;;;;M60;A;;A;L57000869;MONTAJE;FANFARE M.HALTER;.ZL02011;LZ23778.;+8Y0;16/09/2024;16/09/2024
2;;;;M60;A;;A;L57000870;MONTAJE;LADELUFTKUEHLER;.ZL02011;;+DF9+T2C+1D0;20/01/2025;31/12/9999
2;;;;M60;A;;A;L57000870;MONTAJE;LADELUFTKUEHLER;.ZL02011;25V729D1;+D3Q+T3J+1D0+4VN/4WE;16/09/2024;27/10/2025
2;;;;M60;A;;A;L57000870;MONTAJE;LADELUFTKUEHLER;25V729D1;;+D3Q+T3J+1D0+4VN;27/10/2025;31/12/9999
2;;;;M60;A;;A;L57000870A;MONTAJE;LADELUFTKUEHLER;.ZL02011;25L300A.;+DF9+T2C+1M5/1M6/1M9;20/01/2025;17/02/2025
2;;;;M60;A;;A;L57000870A;MONTAJE;LADELUFTKUEHLER;.ZL02011;25L300A.;+DF9+T2C+1D8;20/01/2025;17/02/2025
2;;;;M60;A;;A;L57000870A;MONTAJE;LADELUFTKUEHLER;25L300A.;;+DF9+T2C+1M5/1M6/1M9;17/02/2025;31/12/9999
2;;;;M60;A;;A;L57000870A;MONTAJE;LADELUFTKUEHLER;.ZL02011;25L300A.;+D3Q+T3J+1M5/1M6/1M9;16/09/2024;17/02/2025
2;;;;M60;A;;A;L57000870A;MONTAJE;LADELUFTKUEHLER;.ZL02011;25L300A.;+D3Q+T3J+1D8;16/09/2024;17/02/2025
2;;;;M60;A;;A;L57000870A;MONTAJE;LADELUFTKUEHLER;25L300A.;;+D3Q+T3J+1M5/1M6/1M9;17/02/2025;31/12/9999
2;;;;M60;A;;A;L57000871;MONTAJE;LTGS.VORVERKABELG;.ZL02011;LZ23778.;+N09/T2C;14/10/2024;14/10/2024
2;;;;M60;A;;A;L57000871;MONTAJE;LTGS.VORVERKABELG;LZ23778.;;+DF9/DS9/D3Q;16/09/2024;31/12/9999
1;;;;M60;A;;A;L57000871;MONTAJE;LTGS.VORVERKABELG;26V661R3;26V661R4;+DT7;14/06/2027;14/06/2027
2;;;;M60;A;;A;L57000871A;MONTAJE;LTGS.VORVERKABELG;.ZL02011;LZ25438.;+DS9;14/10/2024;14/10/2024
2;;;;M60;A;;A;L57000871A;MONTAJE;LTGS.VORVERKABELG;.ZL02011;LZ25438.;+DF9/D3Q+1D0;16/09/2024;16/09/2024
2;;;;M60;A;;A;L57000871B;MONTAJE;LTGS.VORVERKABELG;.ZL02011;LZ25438.;+DF9/D3Q+1M5/1M6/1M9;16/09/2024;16/09/2024
2;;;;M60;A;;A;L57000871B;MONTAJE;LTGS.VORVERKABELG;.ZL02011;LZ25438.;+DF9/D3Q+1D8;16/09/2024;16/09/2024
2;;;;M60;A;;A;L57000872;MONTAJE;KUEHLWASSERROHR;.ZL02011;;+T1C;16/09/2024;31/12/9999
2;;;;M60;A;;A;L57000872;MONTAJE;KUEHLWASSERROHR;26V662B.;;+TU6;23/11/2026;31/12/9999
1;;;;M60;A;;A;L57001114;MONTAJE;KUEHLWASSERROHR;27V661R4;;+D14+T1F+5QD+8Z6;14/06/2027;31/12/9999
1;;;;M60;A;;A;L57001229;MONTAJE;KUEHLWASSERROHR;27V661R4;;+D14+T1F;14/06/2027;31/12/9999
1;;;;M60;A;;A;L57001229;MONTAJE;KUEHLWASSERROHR;27V661R4;;+DF9+T1F;14/06/2027;31/12/9999
2;;;;M60;A;;A;L57000873;MONTAJE;LUFTFUEHRUNG;.ZL02011;;+TL1;17/02/2025;31/12/9999
2;;;;M60;A;;A;L57000873;MONTAJE;LUFTFUEHRUNG;.ZL02011;;+T1C;16/09/2024;31/12/9999
2;;;;M60;A;;A;L57000873;MONTAJE;LUFTFUEHRUNG;26V662B.;;+TU6;23/11/2026;31/12/9999
2;;;;M60;A;;A;L57000873A;MONTAJE;LUFTFUEHRUNG;.ZL02011;;+N09;14/10/2024;31/12/9999
2;;;;M60;A;;A;L57000873A;MONTAJE;LUFTFUEHRUNG;.ZL02011;;+T2C+1D0+8Z4/8Z5;20/01/2025;31/12/9999
2;;;;M60;A;;A;L57000873A;MONTAJE;LUFTFUEHRUNG;.ZL02011;;+T2C+1D0+8Z6;20/01/2025;31/12/9999
2;;;;M60;A;;A;L57000873A;MONTAJE;LUFTFUEHRUNG;.ZL02011;;+T3J+1D0+8Z4/8Z5;16/09/2024;31/12/9999
2;;;;M60;A;;A;L57000873A;MONTAJE;LUFTFUEHRUNG;.ZL02011;;+T3J+1D0+8Z6;16/09/2024;31/12/9999
2;;;;M60;A;;A;L57000873A;MONTAJE;LUFTFUEHRUNG;25V661Q2;;+T57;23/11/2026;31/12/9999
2;;;;M60;A;;A;L57000873B;MONTAJE;LUFTFUEHRUNG;.ZL02011;25L300A.;+T2C+1M5/1M6/1M9+8Z4/8Z5;20/01/2025;17/02/2025
2;;;;M60;A;;A;L57000873B;MONTAJE;LUFTFUEHRUNG;.ZL02011;25L300A.;+T2C+1D8+8Z4/8Z5;20/01/2025;17/02/2025
2;;;;M60;A;;A;L57000873B;MONTAJE;LUFTFUEHRUNG;25L300A.;;+T2C+1M5/1M6/1M9+8Z4/8Z5;17/02/2025;31/12/9999
2;;;;M60;A;;A;L57000873B;MONTAJE;LUFTFUEHRUNG;.ZL02011;25L300A.;+T2C+1M5/1M6/1M9+8Z6;20/01/2025;17/02/2025
2;;;;M60;A;;A;L57000873B;MONTAJE;LUFTFUEHRUNG;.ZL02011;25L300A.;+T2C+1D8+8Z6;20/01/2025;17/02/2025
2;;;;M60;A;;A;L57000873B;MONTAJE;LUFTFUEHRUNG;25L300A.;;+T2C+1M5/1M6/1M9+8Z6;17/02/2025;31/12/9999
2;;;;M60;A;;A;L57000873B;MONTAJE;LUFTFUEHRUNG;.ZL02011;25L300A.;+T3J+1M5/1M6/1M9+8Z4/8Z5;16/09/2024;17/02/2025
2;;;;M60;A;;A;L57000873B;MONTAJE;LUFTFUEHRUNG;.ZL02011;25L300A.;+T3J+1D8+8Z4/8Z5;16/09/2024;17/02/2025
2;;;;M60;A;;A;L57000873B;MONTAJE;LUFTFUEHRUNG;25L300A.;;+T3J+1M5/1M6/1M9+8Z4/8Z5;17/02/2025;31/12/9999
2;;;;M60;A;;A;L57000873B;MONTAJE;LUFTFUEHRUNG;.ZL02011;25L300A.;+T3J+1M5/1M6/1M9+8Z6;16/09/2024;17/02/2025
2;;;;M60;A;;A;L57000873B;MONTAJE;LUFTFUEHRUNG;.ZL02011;25L300A.;+T3J+1D8+8Z6;16/09/2024;17/02/2025
2;;;;M60;A;;A;L57000873B;MONTAJE;LUFTFUEHRUNG;25L300A.;;+T3J+1M5/1M6/1M9+8Z6;17/02/2025;31/12/9999
1;;;;M60;A;;A;L57000873B;MONTAJE;LUFTFUEHRUNG;27L660A.;;+T1F;14/06/2027;31/12/9999
2;;;;M60;A;;A;L57000940;MONTAJE;WASSERKUEHLER;LZ23778.;;+TL1+1D0+8Z4/8Z5;17/02/2025;31/12/9999
2;;;;M60;A;;A;L57000940AC;MONTAJE;WASSERKUEHLER;LZ23778.;;+TL1+1D0+8Z4/8Z5;17/02/2025;31/12/9999
2;;;;M60;A;;A;L57000940A;MONTAJE;WASSERKUEHLER;LZ23778.;;+TL1+1M5/1M6/1M9+8Z4/8Z5;17/02/2025;31/12/9999
2;;;;M60;A;;A;L57000940A;MONTAJE;WASSERKUEHLER;LZ23778.;25L300A.;+TL1+1D8+8Z4/8Z5;17/02/2025;17/02/2025
2;;;;M60;A;;A;L57000940T;MONTAJE;WASSERKUEHLER;LZ23778.;;+TL1+1M5/1M6/1M9+8Z4/8Z5;17/02/2025;31/12/9999
2;;;;M60;A;;A;L57000940T;MONTAJE;WASSERKUEHLER;LZ23778.;25L300A.;+TL1+1D8+8Z4/8Z5;17/02/2025;17/02/2025
2;;;;M60;A;;A;L57000940A;MONTAJE;WASSERKUEHLER;LZ23778.;;+TL1+8Z6;17/02/2025;31/12/9999
2;;;;M60;A;;A;L57000940T;MONTAJE;WASSERKUEHLER;LZ23778.;;+TL1+8Z6;17/02/2025;31/12/9999
2;;;;M60;A;;A;L57000940B;MONTAJE;WASSERKUEHLER;LZ23778.;;+DS9+N09+1D0+8Z4/8Z5;14/10/2024;31/12/9999
2;;;;M60;A;;A;L57000940B;MONTAJE;WASSERKUEHLER;LZ23778.;25L300A.;+DS9+N09+1M5/1M6/1M9+8Z4/8Z5;14/10/2024;17/02/2025
2;;;;M60;A;;A;L57000940B;MONTAJE;WASSERKUEHLER;LZ23778.;25L300A.;+DS9+N09+1D8+8Z4/8Z5;14/10/2024;17/02/2025
2;;;;M60;A;;A;L57000940B;MONTAJE;WASSERKUEHLER;25L300A.;;+DS9+N09+1M5/1M6/1M9+8Z4/8Z5;17/02/2025;31/12/9999
2;;;;M60;A;;A;L57000940B;MONTAJE;WASSERKUEHLER;LZ23778.;;+DS9+N09+8Z6;14/10/2024;31/12/9999
2;;;;M60;A;;A;L57000940B;MONTAJE;WASSERKUEHLER;LZ23778.;;+T1C;16/09/2024;31/12/9999
2;;;;M60;A;;A;L57000940C;MONTAJE;WASSERKUEHLER;LZ23778.;;+DF9+T2C;20/01/2025;31/12/9999
2;;;;M60;A;;A;L57000940C;MONTAJE;WASSERKUEHLER;LZ23778.;;+D3Q+T3J;16/09/2024;31/12/9999
2;;;;M60;A;;A;L57000940B;MONTAJE;WASSERKUEHLER;26V662B.;;+TU6;23/11/2026;31/12/9999
2;;;;M60;A;;A;L57000940B;MONTAJE;WASSERKUEHLER;25V661Q.;;+DS9+T57+1D0+8Z4/8Z5;23/11/2026;31/12/9999
2;;;;M60;A;;A;L57000940B;MONTAJE;WASSERKUEHLER;25L300A.;;+DS9+T57+1M5/1M6/1M9+8Z4/8Z5;23/11/2026;31/12/9999
2;;;;M60;A;;A;L57000940B;MONTAJE;WASSERKUEHLER;25V661Q.;;+DS9+T57+8Z6;23/11/2026;31/12/9999
2;;;;M60;A;;A;L57000940B;MONTAJE;WASSERKUEHLER;25V661Q6;;+M5D+T57;23/11/2026;31/12/9999
2;;;;M60;A;;A;L57000988;MONTAJE;NIEDERTEMPERATURKÜHLER;LZ23778.;;+TL1+1D0+8Z4/8Z5;17/02/2025;31/12/9999
2;;;;M60;A;;A;L57000988A;MONTAJE;NIEDERTEMPERATURKÜHLER;LZ23778.;25L300A.;+TL1+1M5/1M6/1M9+8Z4/8Z5;17/02/2025;17/02/2025
2;;;;M60;A;;A;L57000988A;MONTAJE;NIEDERTEMPERATURKÜHLER;LZ23778.;25L300A.;+TL1+1D8+8Z4/8Z5;17/02/2025;17/02/2025
2;;;;M60;A;;A;L57000988A;MONTAJE;NIEDERTEMPERATURKÜHLER;25L300A.;;+TL1+1M5/1M6/1M9+8Z4/8Z5;17/02/2025;31/12/9999
2;;;;M60;A;;A;L57000988A;MONTAJE;NIEDERTEMPERATURKÜHLER;LZ23778.;;+TL1+8Z6;17/02/2025;31/12/9999
2;;;;M60;A;;A;L57000988A;MONTAJE;NIEDERTEMPERATURKÜHLER;LZ23778.;;+DS9+N09+1D0+8Z4/8Z5;14/10/2024;31/12/9999
2;;;;M60;A;;A;L57000988A;MONTAJE;NIEDERTEMPERATURKÜHLER;LZ23778.;25L300A.;+DS9+N09+1M5/1M6/1M9+8Z4/8Z5;14/10/2024;17/02/2025
2;;;;M60;A;;A;L57000988A;MONTAJE;NIEDERTEMPERATURKÜHLER;LZ23778.;25L300A.;+DS9+N09+1D8+8Z4/8Z5;14/10/2024;17/02/2025
2;;;;M60;A;;A;L57000988A;MONTAJE;NIEDERTEMPERATURKÜHLER;25L300A.;;+DS9+N09+1M5/1M6/1M9+8Z4/8Z5;17/02/2025;31/12/9999
2;;;;M60;A;;A;L57000988A;MONTAJE;NIEDERTEMPERATURKÜHLER;LZ23778.;;+DS9+N09+8Z6;14/10/2024;31/12/9999
2;;;;M60;A;;A;L57000988A;MONTAJE;NIEDERTEMPERATURKÜHLER;LZ23778.;;+DS9+T57+1D0+8Z4/8Z5;23/11/2026;31/12/9999
2;;;;M60;A;;A;L57000988A;MONTAJE;NIEDERTEMPERATURKÜHLER;LZ23778.;25L300A.;+DS9+T57+1M5/1M6/1M9+8Z4/8Z5;23/11/2026;23/11/2026
2;;;;M60;A;;A;L57000988A;MONTAJE;NIEDERTEMPERATURKÜHLER;LZ23778.;25L300A.;+DS9+T57+1D8+8Z4/8Z5;23/11/2026;23/11/2026
2;;;;M60;A;;A;L57000988A;MONTAJE;NIEDERTEMPERATURKÜHLER;25L300A.;;+DS9+T57+1M5/1M6/1M9+8Z4/8Z5;23/11/2026;31/12/9999
2;;;;M60;A;;A;L57000988A;MONTAJE;NIEDERTEMPERATURKÜHLER;LZ23778.;;+DS9+T57+8Z6;23/11/2026;31/12/9999
2;;;;M60;A;;A;L57000988A;MONTAJE;NIEDERTEMPERATURKÜHLER;25V661Q6;;+M5D+T57;23/11/2026;31/12/9999
2;;;;M60;A;;A;L57000988B;MONTAJE;NIEDERTEMPERATURKÜHLER;LZ23778.;;+T1C;16/09/2024;31/12/9999
2;;;;M60;A;;A;L57000988B;MONTAJE;NIEDERTEMPERATURKÜHLER;26V662B.;;+TU6;23/11/2026;31/12/9999
2;;;;M60;A;;A;L57000988C;MONTAJE;NIEDERTEMPERATURKÜHLER;LZ23778.;25L300A.;+TL1+1M5/1M6/1M9+8Z4/8Z5;17/02/2025;17/02/2025
2;;;;M60;A;;A;L57000988C;MONTAJE;NIEDERTEMPERATURKÜHLER;LZ23778.;25L300A.;+TL1+1D8+8Z4/8Z5;17/02/2025;17/02/2025
2;;;;M60;A;;A;L57000988C;MONTAJE;NIEDERTEMPERATURKÜHLER;25L300A.;;+TL1+1M5/1M6/1M9+8Z4/8Z5;17/02/2025;31/12/9999
2;;;;M60;A;;A;L57000988C;MONTAJE;NIEDERTEMPERATURKÜHLER;LZ23778.;;+TL1+8Z6;17/02/2025;31/12/9999
2;;;;M60;A;;A;L57000988C;MONTAJE;NIEDERTEMPERATURKÜHLER;LZ23778.;;+DS9+N09+1D0+8Z4/8Z5;14/10/2024;31/12/9999
2;;;;M60;A;;A;L57000988C;MONTAJE;NIEDERTEMPERATURKÜHLER;LZ23778.;25L300A.;+DS9+N09+1M5/1M6/1M9+8Z4/8Z5;14/10/2024;17/02/2025
2;;;;M60;A;;A;L57000988C;MONTAJE;NIEDERTEMPERATURKÜHLER;LZ23778.;25L300A.;+DS9+N09+1D8+8Z4/8Z5;14/10/2024;17/02/2025
2;;;;M60;A;;A;L57000988C;MONTAJE;NIEDERTEMPERATURKÜHLER;25L300A.;;+DS9+N09+1M5/1M6/1M9+8Z4/8Z5;17/02/2025;31/12/9999
2;;;;M60;A;;A;L57000988C;MONTAJE;NIEDERTEMPERATURKÜHLER;LZ23778.;;+DS9+N09+8Z6;14/10/2024;31/12/9999
2;;;;M60;A;;A;L57000988C;MONTAJE;NIEDERTEMPERATURKÜHLER;LZ23778.;;+DS9+T57+1D0+8Z4/8Z5;23/11/2026;31/12/9999
2;;;;M60;A;;A;L57000988C;MONTAJE;NIEDERTEMPERATURKÜHLER;LZ23778.;25L300A.;+DS9+T57+1M5/1M6/1M9+8Z4/8Z5;23/11/2026;23/11/2026
2;;;;M60;A;;A;L57000988C;MONTAJE;NIEDERTEMPERATURKÜHLER;LZ23778.;25L300A.;+DS9+T57+1D8+8Z4/8Z5;23/11/2026;23/11/2026
2;;;;M60;A;;A;L57000988C;MONTAJE;NIEDERTEMPERATURKÜHLER;25L300A.;;+DS9+T57+1M5/1M6/1M9+8Z4/8Z5;23/11/2026;31/12/9999
2;;;;M60;A;;A;L57000988C;MONTAJE;NIEDERTEMPERATURKÜHLER;LZ23778.;;+DS9+T57+8Z6;23/11/2026;31/12/9999
2;;;;M60;A;;A;L57000988C;MONTAJE;NIEDERTEMPERATURKÜHLER;25V661Q6;;+M5D+T57;23/11/2026;31/12/9999
2;;;;M60;A;;A;L57000988E;MONTAJE;NIEDERTEMPERATURKÜHLER;.ZL02011;;+T1C;16/09/2024;31/12/9999
2;;;;M60;A;;A;L57000988E;MONTAJE;NIEDERTEMPERATURKÜHLER;26V662B.;;+TU6;23/11/2026;31/12/9999
2;;;;M60;A;;A;L57000989;MONTAJE;KUEHLERHUTZE;LZ23778.;V20HT63S;+TL1+1D0+5QD+8ZQ+8Z4/8Z5;17/02/2025;22/12/2025
2;;;;M60;A;;A;L57000989;MONTAJE;KUEHLERHUTZE;LZ23778.;V20HT63S;+TL1+1D0+5QD+8ZH+8Z4/8Z5;17/02/2025;22/12/2025
2;;;;M60;A;;A;L57000989;MONTAJE;KUEHLERHUTZE;V20HT63S;;+TL1+1D0+8Z4/8Z5;22/12/2025;31/12/9999
2;;;;M60;A;;A;L57000989G;MONTAJE;KUEHLERHUTZE;LZ23778.;25L300A.;+TL1+1M5/1M6/1M9+8Z4/8Z5;17/02/2025;17/02/2025
2;;;;M60;A;;A;L57000989G;MONTAJE;KUEHLERHUTZE;LZ23778.;25L300A.;+TL1+1D8+8Z4/8Z5;17/02/2025;17/02/2025
2;;;;M60;A;;A;L57000989G;MONTAJE;KUEHLERHUTZE;25L300A.;;+TL1+1M5/1M6/1M9+8Z4/8Z5;17/02/2025;31/12/9999
2;;;;M60;A;;A;L57000989G;MONTAJE;KUEHLERHUTZE;LZ23778.;;+TL1+8Z6;17/02/2025;31/12/9999
2;;;;M60;A;;A;L57000989G;MONTAJE;KUEHLERHUTZE;.ZL02011;25L300A.;+DS9+N09+1M5/1M6/1M9+8Z4/8Z5;14/10/2024;17/02/2025
2;;;;M60;A;;A;L57000989G;MONTAJE;KUEHLERHUTZE;.ZL02011;25L300A.;+DS9+N09+1D8+8Z4/8Z5;14/10/2024;17/02/2025
2;;;;M60;A;;A;L57000989G;MONTAJE;KUEHLERHUTZE;.ZL02011;;+DF9+T2C+1D0+8Z6;20/01/2025;31/12/9999
2;;;;M60;A;;A;L57000989G;MONTAJE;KUEHLERHUTZE;.ZL02011;;+D3Q+T3J+1D0+4VN+5QD;16/09/2024;31/12/9999
2;;;;M60;A;;A;L57000989G;MONTAJE;KUEHLERHUTZE;25V661Q.;;+DS9+T57+1M5/1M6/1M9+8Z4/8Z5;23/11/2026;31/12/9999
2;;;;M60;A;;A;L57000989G;MONTAJE;KUEHLERHUTZE;25V661Q6;;+M5D+T57+1M5/1M6/1M9+8Z4/8Z5;23/11/2026;31/12/9999
2;;;;M60;A;;A;L57000989G;MONTAJE;KUEHLERHUTZE;25V661Q6;;+M5D+T57+8Z6;23/11/2026;31/12/9999
2;;;;M60;A;;A;L57000989A;MONTAJE;KUEHLERHUTZE;LZ23778.;V20HT63S;+DS9+N09+1D0+5QD+8ZQ+8Z4/8Z5;14/10/2024;22/12/2025
2;;;;M60;A;;A;L57000989A;MONTAJE;KUEHLERHUTZE;V20HT63S;;+DS9+N09+1D0+5QD+8Z4/8Z5;22/12/2025;31/12/9999
2;;;;M60;A;;A;L57000989A;MONTAJE;KUEHLERHUTZE;LZ23778.;V20HT63S;+DS9+N09+1D0+5QD+8ZH+8Z4/8Z5;14/10/2024;22/12/2025
2;;;;M60;A;;A;L57000989A;MONTAJE;KUEHLERHUTZE;LZ23778.;V20HT63S;+DF9+T2C+1D0+5QD+8ZQ+8Z4/8Z5;20/01/2025;22/12/2025
2;;;;M60;A;;A;L57000989A;MONTAJE;KUEHLERHUTZE;V20HT63S;;+DF9+T2C+1D0+5QD+8Z4/8Z5;22/12/2025;31/12/9999
2;;;;M60;A;;A;L57000989A;MONTAJE;KUEHLERHUTZE;VP62629.;27V300E2;+DS9+N09+1M5/1M6/1M9+5QD+8Z4/8Z5;24/11/2025;23/11/2026
2;;;;M60;A;;A;L57000989A;MONTAJE;KUEHLERHUTZE;27V300E2;;+DS9+N09+1M5/1M6/1M9+5QD+8Z4/8Z5;23/11/2026;31/12/9999
2;;;;M60;A;;A;L57000989A;MONTAJE;KUEHLERHUTZE;VP62629.;;+DS9+N09+5QD+8Z6;24/11/2025;31/12/9999
2;;;;M60;A;;A;L57000989A;MONTAJE;KUEHLERHUTZE;LZ23778.;V20HT63S;+DF9+T2C+1D0+5QD+8ZH+8Z4/8Z5;20/01/2025;22/12/2025
2;;;;M60;A;;A;L57000989A;MONTAJE;KUEHLERHUTZE;25V661Q.;;+DS9+T57+1D0+8Z4/8Z5;23/11/2026;31/12/9999
2;;;;M60;A;;A;L57000989A;MONTAJE;KUEHLERHUTZE;25V661Q6;;+M5D+T57+1D0+8Z4/8Z5;23/11/2026;31/12/9999
2;;;;M60;A;;A;L57000989F;MONTAJE;KUEHLERHUTZE;LZ23778.;26L146B.;+T1C+1D0;16/09/2024;07/07/2025
